City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,mumford,5.2618,-0.759,24.84,90,82,3.7,GH,1697432550
323,mezhdurechenskiy,59.6,65.9333,7.39,58,100,4.02,RU,1697432550
324,goondiwindi,-28.55,150.3167,32.83,12,7,9.61,AU,1697432550
325,alofi,-19.0595,-169.9187,24.94,69,40,6.17,NU,1697432551
326,tamluk,22.3,87.9167,30.2,54,0,1.06,IN,1697432551
327,nuku'alofa,-21.1333,-175.2,24.19,73,40,6.69,TO,1697432552
328,ghat,24.9647,10.1728,22.19,27,3,1.67,LY,1697432552
329,san andres,12.5847,-81.7006,28.01,89,20,1.54,CO,1697432552
330,ukata,10.8312,5.8249,22.92,82,99,0.98,NG,1697432553
331,machakos,-1.5167,37.2667,17.97,84,99,1.67,KE,1697432553
332,kralendijk,12.15,-68.2667,28.99,89,6,6.69,BQ,1697432411
333,zaragoza,41.6561,-0.8773,18.34,79,75,2.06,ES,1697432554
334,pacific grove,36.6177,-121.9166,15.69,89,75,0.45,US,1697432554
335,derzhavinsk,51.1,66.3167,12.61,67,93,6.58,KZ,1697432554
336,newman,37.3138,-121.0208,20.72,64,0,2.12,US,1697432555
337,jodhpur,26.2867,73.03,30.44,39,31,6.09,IN,1697432555
338,sitka,57.0531,-135.33,10.42,92,90,2.81,US,1697432555
339,huanuco,-9.9329,-76.2415,15.98,91,37,0.48,PE,1697432556
340,coquimbo,-29.9533,-71.3436,12.85,87,75,1.54,CL,1697431997
341,magadan,59.5667,150.8,5.85,66,100,1.34,RU,1697432557
342,bodaybo,57.8506,114.1933,6.53,56,100,0.81,RU,1697432557
343,tahe,52.3333,124.7333,5.59,29,9,5.21,CN,1697432557
344,thames,-37.1333,175.5333,17.04,75,69,3.01,NZ,1697432558
345,blagoveshchensk,50.2667,127.5333,7.34,24,0,8.0,RU,1697432558
346,bikenibeu village,1.3673,173.1241,30.98,74,75,3.09,KI,1697432558
347,pasni,25.2631,63.471,26.82,79,98,4.8,PK,1697432559
348,baise city,23.8997,106.6133,28.58,46,25,1.18,CN,1697432559
349,crane,31.3974,-102.3501,14.43,41,0,4.1,US,1697432559
350,zyryanskoye,56.8306,86.6258,7.92,58,79,4.72,RU,1697432560
351,haiku-pauwela,20.9219,-156.3051,25.58,79,91,4.47,US,1697432560
352,walvis bay,-22.9575,14.5053,13.38,94,100,2.06,NA,1697432560
353,ilek,51.5271,53.3831,11.75,61,8,5.39,RU,1697432560
354,ambovombe,-25.1667,46.0833,23.15,64,98,0.98,MG,1697432561
355,bachhrawan,26.4833,81.1167,31.04,50,81,3.17,IN,1697432561
356,turpan,42.9333,89.1667,20.02,25,8,1.06,CN,1697432561
357,arno,60.1167,18.6333,5.99,63,5,7.51,SE,1697432562
358,ar rutbah,33.0381,40.2848,18.33,60,0,6.64,IQ,1697432562
359,hirara,24.8,125.2833,27.92,54,75,6.69,JP,1697432562
360,lospalos,-8.5186,127.0025,29.42,43,8,5.29,TL,1697432563
361,bykovo,55.6361,38.0803,8.99,93,75,8.94,RU,1697432563
362,acapulco de juarez,16.8634,-99.8901,26.81,87,100,0.95,MX,1697432320
363,kourou,5.1552,-52.6478,25.03,82,92,4.71,GF,1697432564
